Opt_Freq,Final_Train_Acc_MA,Final_Test_Acc_MA,Trainability,Execution_Time,Final_Loss_MA
1,0.9804000000000006,0.9798230000000003,0.06603358453788546,259282.302205801,0.03107291217706378
5,0.9780400000000002,0.9771460000000005,0.10278271277722933,256280.94308304787,0.035431573333510394
20,0.9725850000000003,0.972939,0.19242467309847694,236998.8450884819,0.04326528550203525
100,0.2980649999999999,0.2968470000000001,1.694949495215397,232299.1864426136,1.1590087808833425
thrice,0.29642,0.2949610000000001,1.6950450541268731,232954.02732944489,1.1620630819376485
twice,0.297995,0.29523800000000006,1.6949166927049266,241399.26970148087,1.1587978670665395
once,0.29651,0.2933200000000001,1.6953765774783232,234177.02025699615,1.1492244055453618
