meanz,energ_tot,energ_ecal,energy
1109.003339,221.00838,221.00838,-0.6502488888888889
1097.657702,363.755971,363.224849,-0.2804933333333334
1080.39792,380.617791,380.617733,-0.2707711111111111
1093.075462,670.613742,670.613621,0.5316577777777778
1092.202029,650.238427,649.830608,0.4717600000000002
1087.457541,671.668371,671.173017,0.5882355555555556
1099.341986,371.359939,371.359939,-0.26265777777777777
1088.187081,698.546577,698.546577,0.5426377777777778
1097.277449,679.283101,679.283101,0.5401177777777779
1099.341691,347.831935,347.831935,-0.28452444444444447
1082.293526,173.181348,173.181348,-0.7282888888888889
1099.968502,593.019829,592.925878,0.404608888888889
1098.082568,840.3382,840.316177,0.9465622222222221
1093.635444,401.204321,401.191027,-0.17781777777777785
1097.896519,674.55214,674.55214,0.5535222222222222
1092.053851,499.731011,499.731011,-0.03091111111111111
1097.980096,366.558271,366.558271,-0.3010222222222222
1094.564825,733.036848,732.50915,0.662071111111111
1094.269805,324.399,324.375801,-0.33754444444444454
1076.563488,217.502527,217.502527,-0.7077288888888889
1096.139305,526.946269,526.946269,0.07165333333333335
1094.505363,681.570805,681.447637,0.5203111111111112
1077.988485,257.124538,257.124538,-0.5361488888888889
1096.149979,251.641576,251.641576,-0.5245377777777778
1095.799231,392.857644,391.582955,-0.19092888888888893
1100.02381,558.185706,558.185706,0.23163333333333336
1085.327742,104.926208,104.926208,-0.9681777777777778
1096.835491,559.029575,558.848234,0.2349244444444445
1099.45892,745.690422,745.690422,0.8315933333333334
1098.372993,435.677129,435.586384,-0.17617555555555553
1102.72365,618.985103,618.032523,0.33356666666666657
1096.477492,684.769641,684.641585,0.48471555555555557
1093.027232,382.894278,382.894278,-0.24689111111111117
1093.797057,245.636278,245.636278,-0.5758266666666667
1091.62525,885.716702,885.716702,0.9893533333333333
1082.73998,192.877237,192.877237,-0.7473
1102.696152,552.119857,552.119839,0.26000888888888896
1085.002673,244.063978,244.063978,-0.62698
1089.407725,545.340654,545.340654,0.13770888888888888
1094.188639,109.05198,109.05198,-0.9406711111111111
1076.528674,147.894456,147.894456,-0.8046488888888889
1094.609393,675.064309,673.848529,0.5172355555555554
1096.611512,840.431296,840.283556,0.9809088888888888
1081.984661,316.39181,316.39181,-0.4001933333333333
1108.831903,819.01765,818.446334,0.9222155555555556
1085.107101,133.703638,133.703638,-0.9334844444444445
1085.47109,524.79704,524.79704,0.06751555555555555
1104.66468,559.560807,559.558845,0.15074888888888904
1093.160201,196.71441,196.71441,-0.7252133333333333
1083.123234,191.695423,191.695423,-0.7746555555555555
1086.324046,92.283223,92.283223,-0.9870511111111111
1091.453053,126.947148,126.947148,-0.9055177777777778
1097.604582,787.429709,787.429709,0.8013666666666666
1087.464698,202.030806,201.450759,-0.7025711111111111
1095.575429,549.193477,549.193477,0.19150444444444448
1094.562358,765.409071,765.30814,0.7722266666666668
1096.256837,730.127136,730.127136,0.7312422222222223
1089.071262,382.207794,381.631573,-0.20420888888888888
1081.172408,120.495378,120.495378,-0.9091488888888889
1097.924533,723.055339,723.055339,0.684288888888889
1096.899288,680.091062,680.091062,0.5274200000000002
1102.047928,726.187955,726.129923,0.7476911111111113
1107.557006,805.414789,805.051771,0.8704377777777779
1104.120287,772.140866,772.107896,0.7534066666666668
1095.961402,459.01185,459.01185,-0.054988888888888865
1096.977916,379.305484,379.136873,-0.16958444444444454
1091.281208,577.885725,577.86329,0.31972888888888895
1085.738161,469.150916,469.150916,-0.045877777777777795
1089.692956,629.547584,629.312736,0.4025777777777777
1092.861201,690.76723,690.76723,0.5466688888888889
1099.614998,749.432289,749.399307,0.8395644444444446
1086.146745,584.146975,584.065023,0.30431555555555545
1098.33697,824.714546,824.616236,0.9591777777777777
1097.226625,646.430959,646.272298,0.42397555555555555
1098.737637,735.651937,735.015841,0.7271466666666666
1115.025651,697.242124,695.426484,0.5924333333333331
1094.638435,210.307908,210.307908,-0.6093999999999999
1090.554275,317.84201,317.82529,-0.35027555555555556
1098.051726,462.098217,462.098217,-0.04265333333333343
1093.85029,521.61709,521.496637,0.07411333333333325
1095.783852,307.488667,307.488667,-0.43864222222222227
1100.823403,742.572807,742.571968,0.6456644444444446
1094.958171,604.115335,603.917861,0.29859777777777774
1088.063874,343.369212,343.369212,-0.3376622222222222
1092.868415,547.828083,547.828083,-0.0065577777777777735
1111.849421,242.027788,242.027788,-0.6467911111111111
1099.414832,837.30879,837.303549,0.9716177777777779
1095.197878,414.235715,413.747051,-0.11636666666666662
1081.193252,134.785321,134.785321,-0.8597177777777778
1099.711555,858.696815,858.223022,0.9695022222222223
1087.771987,135.136961,135.136961,-0.9246933333333334
1113.158909,719.537146,719.506198,0.6980422222222222
1098.762593,337.648536,337.614202,-0.32074222222222215
1098.069058,589.756842,589.756842,0.2971133333333331
1081.243621,148.164381,148.164381,-0.8404266666666667
1091.627356,380.653558,380.653558,-0.25726666666666664
1095.092937,205.064313,205.064313,-0.7620355555555556
1077.997688,212.465863,211.689018,-0.7369022222222221
1102.01758,680.693828,680.268253,0.5491022222222222
1111.731334,743.723141,741.839306,0.8237822222222222
1085.393435,98.348634,98.348634,-0.9500377777777778
1085.318751,219.008051,219.008051,-0.6858377777777778
1101.273895,412.605073,412.605073,-0.1889266666666667
1094.570862,465.390428,465.230728,0.07412444444444444
1087.039521,718.079736,718.079736,0.5266533333333332
1091.284318,809.301219,809.006575,0.9075244444444444
1096.541315,295.130803,295.130803,-0.42813777777777773
1088.316393,234.763065,234.763065,-0.6513288888888888
1093.517761,585.7742,585.578175,0.2931555555555554
