Epoch 0 | Batch 20 | Loss: [1.2437246] | Acc: 0.15
Epoch 0 | Batch 20 | Loss: [0.94387233] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.3541086] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.2105262] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.4190634] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.93843985] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.5285423] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.1390297] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.62004936] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [1.0136192] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.4176159] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.2251179] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.4714786] | Acc: 0.15
Epoch 0 | Batch 20 | Loss: [1.361833] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9494899] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.7148221] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.4673728] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.2604429] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.8388398] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.7071115] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.59778357] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [1.3362565] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.4843241] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.515144] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.8319377] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.114184] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.2214644] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.0453528] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.67437065] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9152199] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.5086206] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.1246687] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7894784] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.1864457] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.50543886] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.7336531] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.3482618] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.5257202] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.044888] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.6729306] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.1699413] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.91477215] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.1501877] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.98429424] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.8479605] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.2162375] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.8214943] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.814294] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.720235] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.4575467] | Acc: 0.2
Epoch 0 | Batch 20 | Loss: [0.6393521] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.1176299] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.18963787] | Acc: 0.65
Epoch 0 | Batch 20 | Loss: [0.6818934] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.0685031] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.61163646] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.8620306] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.5358205] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.0264156] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.97851497] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.58164376] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.0033009] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.6791] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.90550834] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.2513266] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.356303] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.6728645] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.2562177] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.0068848] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.99099064] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.87061584] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.8374318] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.95362455] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.0416117] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.482893] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.4572134] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.0273488] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.208008] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.57131755] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.3096884] | Acc: 0.2
Epoch 0 | Batch 20 | Loss: [1.1571066] | Acc: 0.2
Epoch 0 | Batch 20 | Loss: [1.0210903] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.0020167] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.80407304] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.7746577] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.9160754] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.1506728] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.6357473] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.9187366] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.1673719] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.0448115] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.97626144] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.99520236] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.451908] | Acc: 0.2
Epoch 0 | Batch 20 | Loss: [0.76603305] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.7907782] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.0112092] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7615427] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [1.3463501] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.2214803] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.8056213] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9631008] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.7245692] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.6638319] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.2325175] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.58776635] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [1.3510784] | Acc: 0.15
Epoch 0 | Batch 20 | Loss: [0.86181194] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.2548468] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [1.2355319] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.94542694] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.2519773] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.82557315] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.54521173] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.62331986] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.2347717] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.8936969] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.276984] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.362519] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.728579] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.96499884] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.6563608] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.91266316] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.7760031] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.771795] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.84900683] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.91635865] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.71142125] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.6317005] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.73149896] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.5881938] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.6073202] | Acc: 0.65
Epoch 0 | Batch 20 | Loss: [0.8931675] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.9160956] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.9440013] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.1369216] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.1568854] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.9758355] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7209009] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.8090556] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.56636775] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.85639536] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.83952296] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.1704729] | Acc: 0.1
Epoch 0 | Batch 20 | Loss: [0.40948263] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.9182108] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.81711435] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9722292] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.88792306] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.5765108] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.6640346] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.2969825] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [1.0920708] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.70848495] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9415089] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.6704787] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.44721738] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.0312998] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.51138544] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.132509] | Acc: 0.2
Epoch 0 | Batch 20 | Loss: [0.8672204] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.69428617] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.79249036] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.9799925] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.43618503] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.7219294] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.6457144] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9621062] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.2129471] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.9756573] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.67710006] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [1.0029303] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.96724224] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.7453147] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [1.2106001] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9225165] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.47835964] | Acc: 0.7
Epoch 0 | Batch 20 | Loss: [1.195204] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7653371] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.1105831] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.8258494] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.78943044] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.75555766] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.6960907] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.91839683] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.8442195] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.76289743] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.0029719] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.8153864] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.85353154] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.1249914] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7089952] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.80259025] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.48020095] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.67973334] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.0921669] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7670849] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.2189034] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.96703607] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.7482462] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.59027684] | Acc: 0.6
