Epoch,Loss,Accuracy,Test Accuracy
1,0.518369679999695,0.3892686261107314,0.2832459937723096
2,0.5171602832472464,0.39105339105339104,0.2833599149388623
3,0.5159527415559373,0.39302802460697195,0.28339788866104654
4,0.5147497881419838,0.39473684210526316,0.2833599149388623
5,0.5135496024035836,0.3959520012151591,0.28301815143920406
6,0.5123544282881406,0.3978886610465558,0.2827903091060986
7,0.511163929793872,0.39967342598921546,0.28256246677299307
8,0.5099782800304107,0.4013822434875066,0.28256246677299307
9,0.5088018844384957,0.40305308726361355,0.2824865193286246
10,0.5076338938314926,0.40426824637350955,0.2824105718842561
11,0.5064677213795127,0.4059770638718007,0.28260044049517735
12,0.5053023544330473,0.40749601275917063,0.2828282828282828
13,0.5041488990801378,0.4089010404799878,0.28305612516138834
14,0.5029968359694129,0.4101921470342523,0.28305612516138834
15,0.5018531457081152,0.411217437533227,0.2832839674944938
16,0.5007170361993263,0.41220475431001746,0.2834358623832308
17,0.499584722140318,0.41398951925267713,0.28354978354978355
18,0.4984578911417562,0.4149768360294676,0.2836637047163363
19,0.4973374127691426,0.4159641528062581,0.283777625882889
20,0.49622410940671136,0.41706539074960125,0.2838535733272575
Epoch,Loss,Accuracy,Test Accuracy
1,0.5279293323592815,0.6192754613807245,0.29505582137161085
2,0.5157958059633108,0.6388319283056125,0.27846130477709424
3,0.5057593205246617,0.6516290726817042,0.4976456292245766
4,0.5020245195787623,0.6559201032885243,0.3583580162527531
5,0.4997226424244717,0.6596415280625807,0.5854408749145591
6,0.49983985678560305,0.6606288448393711,0.6194653299916458
7,0.49926252673629523,0.6596035543403964,0.5914407230196704
8,0.4987939354603523,0.658768132452343,0.5280246069719754
9,0.49670440325562293,0.6602111338953445,0.48579782790309106
10,0.4972971360741857,0.6608187134502924,0.4973418394471026
11,0.49668219174035205,0.6620338725601883,0.46119085592769804
12,0.4955404458363837,0.6646920331130858,0.455380876433508
13,0.49669755533106785,0.6615402141717931,0.3228146122882965
14,0.49522502935018287,0.6651097440571124,0.5116579327105643
15,0.495825784772081,0.6643502696134275,0.6004404951773373
16,0.49592761515139205,0.6625655046707678,0.3813700918964077
17,0.4949181066635997,0.6651097440571124,0.49517733728260044
18,0.4957942186474614,0.6615022404496089,0.4308498519024835
19,0.4969884163402288,0.6604769499506341,0.4764942659679502
20,0.49520773038867394,0.6624895572263994,0.5778081567555252
Epoch,Loss,Accuracy,Test Accuracy
1,1.0431076512268544,0.4456596035543404,0.33914331282752336
2,0.8397894845559253,0.41117946381104276,0.34024455077086657
3,0.7143445659761931,0.47076023391812866,0.33773828510670617
4,0.6467285495729622,0.4790385053542948,0.33162451583504216
5,0.6108055136143659,0.4794941900205058,0.32554872028556237
6,0.5891639880157022,0.4845067213488266,0.32858661806030226
7,0.5744741603129287,0.48329156223893066,0.32801701222753854
8,0.5637884824135645,0.4823042454621402,0.32854864433811803
9,0.5555677291667985,0.4830637199058252,0.32927014505961877
10,0.549096169369648,0.4838611680716944,0.3298397508923825
11,0.5437014554514338,0.48370927318295737,0.3312068048910154
12,0.5391435721354435,0.4859117490696438,0.33249791144527985
13,0.5352256295688167,0.48743069795701377,0.3339409128882813
14,0.5317831304522043,0.48416495784916835,0.33451051872104504
15,0.5287285988500299,0.48530416951469585,0.33318143844459636
16,0.5260429615178234,0.48727880306827676,0.33359914938862306
17,0.5236535196711705,0.48913951545530493,0.3344725449988608
18,0.5215415705462565,0.49073441178704336,0.33561175666438825
19,0.5196654889856103,0.49331662489557226,0.3359155464418622
20,0.5179895579858291,0.4953672058935217,0.3367509683299157
Epoch,Loss,Accuracy,Test Accuracy
1,0.1592968857800372,0.7554492291334397,0.4709501025290499
2,0.15009625103345606,0.7675248727880307,0.29399255715045186
3,0.1450448618370006,0.7767145135566188,0.266195792511582
4,0.14333539853011434,0.7767904610009874,0.21584263689526847
5,0.14257427662120642,0.7761449077238551,0.23107009949115212
6,0.1429547117186065,0.7773220931115667,0.2219564061669325
7,0.14310965493808195,0.7754993544467229,0.24231032125768967
8,0.14257225727077133,0.7773220931115667,0.2879167616009721
9,0.14282138938878913,0.7761828814460393,0.21610845295055822
10,0.14273847058112654,0.7778916989443305,0.23107009949115212
11,0.14250013462442385,0.7756892230576441,0.21508316245158351
12,0.142412753460081,0.7758411179463811,0.23262702210070632
13,0.14212693103996943,0.7798663324979115,0.24504442925495556
14,0.14235729308890283,0.7789929368876737,0.23725981620718462
15,0.14145161789361058,0.7812333864965444,0.2265132528290423
16,0.1428535617149819,0.7807397281081492,0.1788942052099947
17,0.14352595287219302,0.779182805498595,0.18291941976152504
18,0.1446641573107963,0.7827903091060986,0.15223665223665223
19,0.14474184266083007,0.7799802536644642,0.04917597022860181
20,0.14454305176681723,0.7801701222753854,0.21204526467684362
Epoch,Loss,Accuracy,Test Accuracy
1,1.2280304206908021,0.2758411179463811,0.34711779448621555
2,1.2261714812748934,0.27610693400167086,0.347345636819321
3,1.2249606285033756,0.27641072377914483,0.3473836105415053
4,1.2239842462755899,0.2768284347231716,0.3474215842636895
5,1.2231434621999173,0.27698032961190855,0.3474595579858738
6,1.2223937041405906,0.2770942507784613,0.3474595579858738
7,1.221710718454624,0.27743601427811954,0.3474595579858738
8,1.2210796063236078,0.2774739880003038,0.34768740031897927
9,1.2204902657817607,0.27751196172248804,0.3478392952077163
10,1.2199354513753373,0.2776258828890408,0.3478392952077163
11,1.2194097483794275,0.2777018303334093,0.347953216374269
12,1.2189091270450032,0.2777777777777778,0.348105111263006
13,1.2184303269901247,0.2778916989443305,0.34814308498519025
14,1.2179708747910574,0.27796764638869903,0.3481810587073745
15,1.2175286607638611,0.278119541277436,0.34821903242955876
16,1.2171018953819133,0.2783473836105415,0.34840890104048
17,1.2166890859302018,0.27853725222146275,0.3484848484848485
18,1.2162889657714513,0.2787650945545682,0.3484848484848485
19,1.2159004558175992,0.278879015721121,0.3484848484848485
20,1.2155226188378954,0.27895496316548946,0.34856079592921696
Epoch,Loss,Accuracy,Test Accuracy
1,0.24527076407848794,0.550277208171945,0.3850535429482798
2,0.23867411272191388,0.5666818561555403,0.41368572947520316
3,0.2371713109850727,0.5740107845371003,0.40404040404040403
4,0.23658687940347234,0.5801625275309485,0.38110427584111795
5,0.23584105264992827,0.5856307435254804,0.37123110807321336
6,0.2353157014959009,0.587871193134351,0.3618136249715197
7,0.2352153794048768,0.5915926179084073,0.36553504974557605
8,0.23493342980465168,0.5930356193514088,0.36606668185615554
9,0.23467458189425783,0.5950862003493582,0.3627249943039417
10,0.23411307859954536,0.596415280625807,0.3553580922001975
11,0.2337788434418463,0.5960355434039645,0.35418090681248576
12,0.23375199617786896,0.595807701070859,0.3872560188349662
13,0.23339694183050952,0.5985418090681248,0.39917976760082025
14,0.2330782651570746,0.5977823346244399,0.4194957089693932
15,0.23274792127509158,0.5953899901268322,0.4314954051796157
16,0.23269196964605476,0.6030606820080504,0.41611604769499505
17,0.2325389210119695,0.5968709652920179,0.4194957089693932
18,0.23253459571979634,0.5937191463507253,0.4344573555099871
19,0.23221408279830022,0.5997949419002051,0.44482418166628696
20,0.2319945878552853,0.5994911521227311,0.4300903774587985
Epoch,Loss,Accuracy,Test Accuracy
1,0.8647525814989283,0.3864965443912812,0.41634389002810057
2,0.7899739332336295,0.4758866864130022,0.5369104579630896
3,0.7425336327811924,0.5354294827979038,0.5331510594668489
4,0.722861280565936,0.5356952988531936,0.5372522214627478
5,0.7090549889182824,0.5397964608490924,0.5418470418470418
6,0.6961033665743331,0.5436318067897016,0.5454545454545454
7,0.6826896574271268,0.5481886534518113,0.5506569453937875
8,0.667250355164096,0.5557074504442926,0.5624287992709045
9,0.6478245957985755,0.5649730386572492,0.5678970152654363
10,0.6224720228134463,0.5720361509835195,0.5760233918128655
11,0.5899811836828208,0.5817194501405027,0.5865421128579024
12,0.5509921569364401,0.5882129566340093,0.5881370091896407
13,0.5087297030965021,0.5873775347459558,0.5896559580770107
14,0.46800603168269184,0.6194653299916458,0.6780587833219412
15,0.433099045546077,0.7462975620870358,0.7953596111490848
16,0.4060151646028158,0.8058023847497532,0.8107009949115213
17,0.3865716546223304,0.8217893217893217,0.8241816662869295
18,0.3732566045492604,0.8177641072377915,0.8108908635224424
19,0.36435914175496104,0.8053846738057264,0.8017771701982228
20,0.3584337594555156,0.7983975089238247,0.7947520315941369
Epoch,Loss,Accuracy,Test Accuracy
1,0.5474072394165815,0.49126604389762285,0.39223057644110276
2,0.5048061974598461,0.5595427963849017,0.40612895876053773
3,0.5033547175059855,0.5742006531480216,0.3903698640540746
4,0.5034451584247923,0.5775803144224196,0.35801625275309484
5,0.5033235604619287,0.5764411027568922,0.33640920483025744
6,0.5034475275102488,0.576099339257234,0.3184096605149237
7,0.5033388226060672,0.5773524720893142,0.31951089845826686
8,0.503521544912814,0.575947444368497,0.31613123718386876
9,0.5028656300471326,0.5751499962026277,0.309447862079441
10,0.5031601626452599,0.5765170502012608,0.3087643350801246
11,0.5030097288268708,0.575643654591023,0.3043593833067517
12,0.5031349573562359,0.5752639173691805,0.29873927242348297
13,0.5027511103799651,0.5742006531480216,0.309751651856915
14,0.5030244016379062,0.574884180147338,0.3113465481886534
15,0.5029916610502034,0.5774663932558669,0.3187893977367662
16,0.5027684486335806,0.5753018910913648,0.31856155540366066
17,0.5030804977952488,0.5775803144224196,0.3262702210070631
18,0.5028506459504564,0.5783397888661047,0.33409280777701833
19,0.5028406424908666,0.5770486823118403,0.32999164578111945
20,0.5028294108450319,0.577922077922078,0.34058631427052477
Epoch,Loss,Accuracy,Test Accuracy
1,0.8184517396056874,0.424812030075188,0.36610465557833977
2,0.8180303149848492,0.424812030075188,0.36606668185615554
3,0.8176084843997441,0.42503987240829344,0.36599073441178703
4,0.8171867457458744,0.4254196096301359,0.3658768132452343
5,0.8167652300655674,0.42568542568542567,0.3659147869674185
6,0.8163439969072366,0.4260271891850839,0.3658388395230501
7,0.8159214424579377,0.4263309789625579,0.3658388395230501
8,0.8154994528632425,0.4264449001291107,0.3658008658008658
9,0.8150776500430369,0.42709045340624285,0.3657249183564973
10,0.8146552791432217,0.42766005923900663,0.36561099718994455
11,0.8142327084212057,0.42815371762740184,0.36545910230120754
12,0.8138093365169029,0.4283815599605073,0.3654211285790233
13,0.8133873127026281,0.42872332346016556,0.3652312599681021
14,0.8129647134581774,0.4291410344041923,0.36519328624591785
15,0.8125419651255834,0.42971064023695604,0.3649274701906281
16,0.8121191472288445,0.43050808840282523,0.3649274701906281
17,0.8116961365660155,0.430925799346852,0.3647755753018911
18,0.8112731877778195,0.43153337890179994,0.36466165413533835
