Params per Input,Final Loss,Final Train Accuracy,Final Test Accuracy,Trainability,Execution Time
1,0.19349396215409795,0.825,0.785,0.4039490959922078,128617.09387540817
2,0.23053962752940377,0.8300000000000001,0.85,0.3446394782687525,221619.3237669468
3,0.023890837339855784,0.985,0.9800000000000001,0.08022232166010455,249345.0452120304
4,0.03002497796306955,0.9649999999999999,0.9720000000000001,0.07007448661107352,234736.94237828255
5,0.041608793652401485,0.975,1.0,0.07477630569304597,241521.0453169346
